ID,LTPC,Northing,Easting,L30_B02,L30_B03,L30_B04,L30_B05,L30_B06,L30_B07,S30_B02,S30_B03,S30_B04,S30_B05,S30_B06,S30_B07,S30_B11,S30_B12,S30_B8A
253,3,4237075.799560378,572545.9817499332,251,447,421,2670,1734,932,374,561,572,942,1922,2370,1998,1088,2704
254,3,4272497.030182967,555020.6870987716,438,551,491,505,258,211,305,469,398,427,506,581,410,289,583
255,3,4206655.92449232,689869.0338581371,216,393,322,2712,1648,833,263,496,520,867,1870,2304,1945,1108,2654
256,3,4339832.235657978,430719.1149736037,832,1039,1087,831,150,141,590,802,789,818,654,701,195,166,606
257,3,4240360.925673895,561320.3729581397,252,453,382,2348,1700,916,257,453,403,754,1668,1996,1799,978,2277
258,3,4265854.072805622,519786.2387526368,243,456,365,2327,1451,800,234,437,381,714,1725,2109,1543,851,2348
259,3,4372504.7863682145,445590.3498997299,267,443,399,2876,1596,785,359,548,548,888,1898,2328,1730,919,2638
260,3,4315265.802116199,598802.14177905,319,489,452,2539,1947,1091,347,540,499,856,1980,2446,1875,980,2773
261,3,4275626.9421134405,546941.4905389011,182,341,260,2015,1101,569,143,305,255,543,1412,1731,1208,624,1957
262,3,4190925.5162799046,632085.4040312893,210,357,306,2213,1519,751,182,371,375,700,1615,1989,1734,907,2310
263,3,4225965.127163304,500052.3894379294,261,443,433,1344,1153,676,487,663,689,856,1175,1348,1315,806,1516
264,3,4194938.027531343,520473.0042376192,174,373,315,1792,1163,629,163,368,301,697,1508,1789,1411,733,2045
265,3,4294442.156771746,681733.8093852375,279,378,252,40,-17,9,385,506,475,588,532,596,259,154,559
266,3,4212493.38237356,643143.2036066732,306,486,471,2367,2048,1148,236,447,460,839,1750,2121,2125,1177,2449
267,3,4193463.210242528,655228.1002063472,228,375,370,2240,1701,854,210,390,405,734,1657,2057,1799,896,2414
268,3,4272617.177673606,611618.6237972027,258,431,392,2294,1715,928,290,493,468,824,1838,2241,1774,939,2526
269,3,4216094.942666866,573598.4686679514,248,435,439,2413,1672,904,252,433,448,800,1728,2148,1823,971,2473
270,3,4211678.174380019,619057.084958602,275,458,456,2381,1886,1014,217,405,429,751,1568,1910,1794,968,2209
271,3,4303312.757041346,550162.3323866049,259,451,391,2612,1688,873,155,348,289,675,1762,2182,1587,827,2475
272,3,4293436.864495412,581654.7054307116,280,495,450,2522,1809,992,297,501,467,827,1793,2172,1776,935,2487
273,3,4258510.591250033,667558.3616805666,259,432,384,2530,1758,914,300,489,461,787,1895,2339,1814,922,2649
274,3,4302495.529017884,536110.5373796353,261,479,387,2680,1817,942,241,433,419,749,1784,2210,1822,984,2519
275,3,4283471.291225501,698811.0183892573,247,424,351,2510,1583,767,306,502,469,811,1864,2307,1745,893,2619
276,3,4274391.15080591,596223.5321961871,322,579,599,1484,1249,792,447,681,706,863,1176,1309,1284,787,1468
277,3,4207272.762010902,663461.0746985509,189,343,305,2441,1497,706,178,362,362,672,1677,2131,1698,839,2488
278,3,4227070.511674629,557711.9447867465,225,422,372,2425,1673,857,214,398,375,718,1630,1982,1737,896,2309
279,3,4296966.987247786,619183.1731615826,268,448,449,2427,1857,984,374,581,626,970,1946,2367,2032,1069,2746
280,3,4260848.5646536,704789.1234483917,224,386,328,2364,1545,789,258,456,415,771,1804,2229,1640,851,2511
281,3,4293131.909629337,635028.0115968995,215,380,324,2237,1407,716,226,375,362,659,1566,1963,1500,783,2220
282,3,4251671.659612136,578195.535526133,195,372,298,2340,1351,633,279,438,396,717,1696,2099,1591,779,2387
283,3,4221680.112693407,611651.938662794,300,523,520,3026,2187,1088,339,581,591,1015,2178,2659,2206,1106,3063
284,3,4317961.782640526,572623.8676784745,257,491,386,2890,1537,781,313,532,502,910,1956,2400,1634,880,2692
285,3,4320944.311903309,480543.06027765956,304,545,504,2463,1705,930,423,641,649,956,1734,2034,1780,997,2290
286,3,4374165.1210241765,422202.01463995455,558,747,726,2645,1927,1189,548,728,769,1102,1807,2112,2061,1309,2358
287,3,4299867.204921149,680239.3252900603,254,435,348,2417,1577,805,322,522,449,803,1822,2188,1599,848,2453
288,3,4317284.3859778745,424747.4193969492,260,432,387,2246,1641,927,332,471,496,771,1547,1889,1676,956,2152
289,3,4192782.579568254,681693.761209371,205,385,354,2646,1659,785,231,449,440,833,2062,2578,1813,867,2957
290,3,4281457.786822887,627898.9030869838,287,486,476,2973,2049,1076,359,571,588,976,2168,2690,2049,1061,3046
291,3,4331895.336164068,485803.2037503371,316,518,509,2289,1755,1018,376,569,610,832,1586,1896,1622,953,2162
292,3,4293827.462726137,588362.4462540878,435,699,753,2608,2002,1224,497,732,780,1141,1998,2363,2000,1180,2656
293,3,4328265.507552394,419590.1267288073,418,581,550,2533,1795,1014,527,703,715,1012,1845,2212,2006,1170,2511
294,3,4338144.511176761,535557.7560651036,337,545,556,2301,1926,1124,377,584,599,987,1876,2234,1958,1128,2518
295,3,4240603.830290542,520549.3138702634,324,544,554,2838,2300,1249,328,526,538,895,1877,2307,2197,1170,2705
296,3,4236589.114146093,562229.2580085135,178,349,269,2101,1212,602,199,376,303,611,1555,1895,1337,657,2160
297,3,4222555.891398879,514212.1882471297,283,474,407,298,230,204,371,508,448,470,447,484,455,352,478
298,3,4276798.904974599,674263.2858919762,244,411,356,2448,1629,829,239,409,411,691,1628,2032,1654,862,2337
299,3,4200278.057640568,636295.6677416108,235,428,397,2639,1756,849,208,415,459,823,1756,2159,1904,977,2527
300,4,4338519.625477842,567040.800785908,513,870,955,2947,2959,1843,702,1022,1120,1527,2321,2640,2868,1776,2976
301,4,4355982.831751058,544094.9956121206,851,1138,1193,3076,2307,1353,667,978,1030,1421,2351,2689,2340,1355,3008
302,4,4367891.349711733,462825.4460017977,1049,1283,1420,2953,2584,1719,468,729,919,1177,1821,2189,2815,1878,2509
303,4,4390950.838689454,468749.6754771696,1332,1415,1508,2882,2425,1651,625,843,1007,1205,1781,2086,2436,1622,2345
304,4,4252777.700654239,521789.25362006255,389,652,668,2832,2316,1511,418,699,714,1087,2136,2566,2293,1431,2856
305,4,4309825.398902657,570455.2090929432,996,1247,1426,2736,2927,2065,1013,1266,1440,1707,2334,2634,2848,1933,2929
306,4,4299319.189228086,507078.9885474605,524,879,908,4068,2768,1604,637,965,986,1419,3085,3851,2599,1445,4215
307,4,4396691.609168952,602449.6511905151,821,1109,1216,3276,2704,1692,801,1099,1215,1560,2473,2867,2618,1622,3209
308,4,4334646.544352839,538171.6876218051,589,887,1030,2732,3100,2058,983,1250,1372,1679,2453,2799,2644,1731,3072
309,4,4294706.530203985,442435.4893925314,525,884,1041,4211,2578,1473,930,1303,1460,1892,3298,4060,2591,1481,4489
310,4,4319318.147926386,409302.7077335061,757,1065,1321,2710,3474,2462,1351,1616,1799,2062,2809,3152,3049,2113,3425
311,4,4340173.955323366,521750.4402297503,905,1177,1366,3220,2907,1944,906,1192,1376,1693,2672,3190,2961,1924,3512
312,4,4372734.920365241,464768.93941325496,1026,1249,1350,3158,2392,1520,404,692,790,1138,2096,2550,2579,1604,2889
313,4,4330534.5764438985,534647.3778795389,699,1087,1285,3354,3203,2109,956,1268,1430,1768,2889,3463,2968,1875,3797
314,4,4253739.51477184,687953.3380860295,430,696,784,2630,2355,1486,587,862,912,1197,2202,2625,2107,1294,2949
315,4,4310377.21652194,592405.503776859,572,812,962,2176,2663,2105,1157,1393,1567,1793,2246,2488,2467,1908,2710
316,4,4309403.697483979,583346.7679118617,533,787,860,2699,2551,1779,958,1225,1315,1611,2479,2854,2441,1665,3133
317,4,4380502.781031484,412655.68526843254,861,1065,1158,2720,2423,1680,940,1146,1315,1501,2054,2389,2584,1818,2669
